name,yahoo_symbol,exchange
B&B Triplewall Containers Limited,BBTCL.NS,NSE
Brightcom Group Limited,BCG.NS,NSE
Bcl Industries Limited,BCLIND.NS,NSE
Brand Concepts Limited,BCONCEPTS.NS,NSE
Bharat Dynamics Limited,BDL.NS,NSE
Beardsell Limited,BEARDSELL.NS,NSE
Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS,NSE
Bedmutha Industries Limited,BEDMUTHA.NS,NSE
Bharat Electronics Limited,BEL.NS,NSE
Bella Casa Fashion & Retail Limited,BELLACASA.NS,NSE
Belrise Industries Limited,BELRISE.NS,NSE
BEML Limited,BEML.NS,NSE
Bhansali Engineering Polymers Limited,BEPL.NS,NSE
Berger Paints (I) Limited,BERGEPAINT.NS,NSE
Best Agrolife Limited,BESTAGRO.NS,NSE
Beta Drugs Limited,BETA.NS,NSE
BF Investment Limited,BFINVEST.NS,NSE
BF Utilities Limited,BFUTILITIE.NS,NSE
BGR Energy Systems Limited,BGRENERGY.NS,NSE
Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS,NSE
Bhageria Industries Limited,BHAGERIA.NS,NSE
Bhagyanagar India Limited,BHAGYANGR.NS,NSE
Bhandari Hosiery Exports Limited,BHANDARI.NS,NSE
Bharat Forge Limited,BHARATFORG.NS,NSE
Bharat Gears Limited,BHARATGEAR.NS,NSE
Bharat Rasayan Limited,BHARATRAS.NS,NSE
Bharat Seats Limited,BHARATSE.NS,NSE
Bharat Wire Ropes Limited,BHARATWIRE.NS,NSE
Bharti Airtel Limited,BHARTIARTL.NS,NSE
Bharti Hexacom Limited,BHARTIHEXA.NS,NSE
Bharat Heavy Electricals Limited,BHEL.NS,NSE
Bigbloc Construction Limited,BIGBLOC.NS,NSE
Bikaji Foods International Limited,BIKAJI.NS,NSE
Bhartiya International Limited,BIL.NS,NSE
BIL VYAPAR LIMITED,BILVYAPAR.NS,NSE
Biocon Limited,BIOCON.NS,NSE
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS,NSE
Birla Cable Limited,BIRLACABLE.NS,NSE
Birla Corporation Limited,BIRLACORPN.NS,NSE
Aditya Birla Money Limited,BIRLAMONEY.NS,NSE
BirlaNu Limited,BIRLANU.NS,NSE
BLACKBUCK LIMITED,BLACKBUCK.NS,NSE
BEML Land Assets Limited,BLAL.NS,NSE
BLB Limited,BLBLIMITED.NS,NSE
Bliss GVS Pharma Limited,BLISSGVS.NS,NSE
B. L. Kashyap and Sons Limited,BLKASHYAP.NS,NSE
BLS International Services Limited,BLS.NS,NSE
BLS E-Services Limited,BLSE.NS,NSE
Blue Coast Hotels Limited,BLUECOAST.NS,NSE
Blue Dart Express Limited,BLUEDART.NS,NSE
Blue Jet Healthcare Limited,BLUEJET.NS,NSE
Blue Star Limited,BLUESTARCO.NS,NSE
BlueStone Jewellery and Lifestyle Limited,BLUESTONE.NS,NSE
Bluspring Enterprises Limited,BLUSPRING.NS,NSE
BMW Ventures Limited,BMWVENTLTD.NS,NSE
Bodal Chemicals Limited,BODALCHEM.NS,NSE
Bohra Industries Limited,BOHRAIND.NS,NSE
Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS,NSE
Borana Weaves Limited,BORANA.NS,NSE
Borosil Limited,BOROLTD.NS,NSE
BOROSIL RENEWABLES LIMITED,BORORENEW.NS,NSE
Borosil Scientific Limited,BOROSCI.NS,NSE
Bosch Limited,BOSCHLTD.NS,NSE
Bharat Petroleum Corporation Limited,BPCL.NS,NSE
BPL Limited,BPL.NS,NSE
Brigade Enterprises Limited,BRIGADE.NS,NSE
Brigade Hotel Ventures Limited,BRIGHOTEL.NS,NSE
Britannia Industries Limited,BRITANNIA.NS,NSE
Bharat Road Network Limited,BRNL.NS,NSE
Brooks Laboratories Limited,BROOKS.NS,NSE
BSE Limited,BSE.NS,NSE
Bombay Super Hybrid Seeds Limited,BSHSL.NS,NSE
BSL Limited,BSL.NS,NSE
BIRLASOFT LIMITED,BSOFT.NS,NSE
Bodhi Tree Multimedia Limited,BTML.NS,NSE
Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS,NSE
Barak Valley Cements Limited,BVCL.NS,NSE
The Byke Hospitality Ltd,BYKE.NS,NSE
California Software Company Limited,CALSOFT.NS,NSE
Camlin Fine Sciences Limited,CAMLINFINE.NS,NSE
Campus Activewear Limited,CAMPUS.NS,NSE
Computer Age Management Services Limited,CAMS.NS,NSE
Canara Bank,CANBK.NS,NSE
Can Fin Homes Limited,CANFINHOME.NS,NSE
Canara HSBC Life Insurance Company Limited,CANHLIFE.NS,NSE
Cantabil Retail India Limited,CANTABIL.NS,NSE
Capacit'e Infraprojects Limited,CAPACITE.NS,NSE
Capillary Technologies India Limited,CAPILLARY.NS,NSE
Capital Small Finance Bank Limited,CAPITALSFB.NS,NSE
Caplin Point Laboratories Limited,CAPLIPOINT.NS,NSE
Capital Trust Limited,CAPTRUST.NS,NSE
Carborundum Universal Limited,CARBORUNIV.NS,NSE
CARE Ratings Limited,CARERATING.NS,NSE
Carraro India Limited,CARRARO.NS,NSE
Cartrade Tech Limited,CARTRADE.NS,NSE
CARYSIL LIMITED,CARYSIL.NS,NSE
Castrol India Limited,CASTROLIND.NS,NSE
Consolidated Construction Consortium Limited,CCCL.NS,NSE
Country Club Hospitality & Holidays Limited,CCHHL.NS,NSE
CCL Products (India) Limited,CCL.NS,NSE
Central Depository Services (India) Limited,CDSL.NS,NSE
CEAT Limited,CEATLTD.NS,NSE
Ceigall India Limited,CEIGALL.NS,NSE
Celebrity Fashions Limited,CELEBRITY.NS,NSE
Cello World Limited,CELLO.NS,NSE
Cemindia Projects Limited,CEMPRO.NS,NSE
Century Enka Limited,CENTENKA.NS,NSE
Century Extrusions Limited,CENTEXT.NS,NSE
Central Bank of India,CENTRALBK.NS,NSE
Centrum Capital Limited,CENTRUM.NS,NSE
